gene_id,KX894508_label,CaPV,LSDV,GTPV,SPPV_ancient,SPPV_modern
LD048,LD048,ONKBACOP_00048,OFLNMJHG_00048,GLMFCEHM_00047,LDHBPGCO_00049,LCBDDICB_00048
LD049,LD049,ONKBACOP_00049,OFLNMJHG_00049,GLMFCEHM_00048,LDHBPGCO_00050,LCBDDICB_00049
LD050,LD050,ONKBACOP_00050,OFLNMJHG_00050,GLMFCEHM_00049,LDHBPGCO_00051,LCBDDICB_00050
LD051,LD052,ONKBACOP_00051,OFLNMJHG_00051,GLMFCEHM_00050,LDHBPGCO_00052,LCBDDICB_00051
LD052,LD051,ONKBACOP_00052,OFLNMJHG_00052,GLMFCEHM_00051,LDHBPGCO_00053,LCBDDICB_00052
LD053,LD053,ONKBACOP_00053,OFLNMJHG_00053,GLMFCEHM_00052,LDHBPGCO_00054,LCBDDICB_00053
LD054,LD054,ONKBACOP_00054,OFLNMJHG_00054,GLMFCEHM_00053,LDHBPGCO_00055,LCBDDICB_00054
LD055,LD055,ONKBACOP_00055,OFLNMJHG_00055,GLMFCEHM_00054,LDHBPGCO_00056,LCBDDICB_00055
LD056,LD056,ONKBACOP_00056,OFLNMJHG_00056,GLMFCEHM_00055,LDHBPGCO_00057,LCBDDICB_00056
LD057,LD057,ONKBACOP_00057,OFLNMJHG_00057,GLMFCEHM_00056,LDHBPGCO_00058,LCBDDICB_00057
LD058,LD058,ONKBACOP_00058,OFLNMJHG_00058,GLMFCEHM_00057,LDHBPGCO_00059,LCBDDICB_00058
LD059,LD059,ONKBACOP_00059,OFLNMJHG_00059,GLMFCEHM_00058,LDHBPGCO_00060,LCBDDICB_00059
LD060,LD060,ONKBACOP_00060,OFLNMJHG_00060,GLMFCEHM_00059,LDHBPGCO_00061,LCBDDICB_00060
LD061,LD061,ONKBACOP_00061,OFLNMJHG_00061,GLMFCEHM_00060,LDHBPGCO_00062,LCBDDICB_00061
LD062,LD062,ONKBACOP_00062,OFLNMJHG_00062,GLMFCEHM_00061,LDHBPGCO_00063,LCBDDICB_00062
LD063,LD063,ONKBACOP_00063,OFLNMJHG_00063,GLMFCEHM_00062,LDHBPGCO_00064,LCBDDICB_00063
LD064,LD064,ONKBACOP_00064,OFLNMJHG_00064,GLMFCEHM_00063,LDHBPGCO_00065,LCBDDICB_00064
LD065,LD065,ONKBACOP_00065,OFLNMJHG_00065,GLMFCEHM_00064,LDHBPGCO_00066,LCBDDICB_00065
LD066,LD066,ONKBACOP_00066,OFLNMJHG_00066,GLMFCEHM_00065,LDHBPGCO_00067,LCBDDICB_00066
LD067,LD067,ONKBACOP_00067,OFLNMJHG_00067,GLMFCEHM_00066,LDHBPGCO_00068,LCBDDICB_00067
LD068,LD068,ONKBACOP_00068,OFLNMJHG_00068,GLMFCEHM_00067,LDHBPGCO_00069,LCBDDICB_00068
LD069,LD069,,,,,
LD070,LD070,ONKBACOP_00069,OFLNMJHG_00069,GLMFCEHM_00068,LDHBPGCO_00070,LCBDDICB_00069
LD071,LD071,ONKBACOP_00070,OFLNMJHG_00070,GLMFCEHM_00069,LDHBPGCO_00071,LCBDDICB_00070
LD072,LD072,ONKBACOP_00071,OFLNMJHG_00071,GLMFCEHM_00070,LDHBPGCO_00072,LCBDDICB_00071
LD073,LD073,ONKBACOP_00072,OFLNMJHG_00072,GLMFCEHM_00071,LDHBPGCO_00073,LCBDDICB_00072
LD074,LD074,ONKBACOP_00073,OFLNMJHG_00073,GLMFCEHM_00072,LDHBPGCO_00074,LCBDDICB_00073
LD075,LD075,ONKBACOP_00074,OFLNMJHG_00074,GLMFCEHM_00073,LDHBPGCO_00075,LCBDDICB_00074
LD076,LD076,ONKBACOP_00075,OFLNMJHG_00075,GLMFCEHM_00074,LDHBPGCO_00076,LCBDDICB_00075
LD077,LD077,ONKBACOP_00076,OFLNMJHG_00076,GLMFCEHM_00075,LDHBPGCO_00077,LCBDDICB_00076
LD078,LD078,ONKBACOP_00077,OFLNMJHG_00077,GLMFCEHM_00076,LDHBPGCO_00078,LCBDDICB_00077
LD079,LD079,ONKBACOP_00078,OFLNMJHG_00078,GLMFCEHM_00077,LDHBPGCO_00079,LCBDDICB_00078
LD079.1,,ONKBACOP_00079,OFLNMJHG_00079,GLMFCEHM_00078,LDHBPGCO_00080,LCBDDICB_00079
LD079.2,,ONKBACOP_00080,OFLNMJHG_00080,GLMFCEHM_00079,LDHBPGCO_00081,LCBDDICB_00080
LD080,LD080,ONKBACOP_00081,OFLNMJHG_00081,GLMFCEHM_00080,LDHBPGCO_00082,LCBDDICB_00081
LD081,LD081,ONKBACOP_00082,OFLNMJHG_00082,GLMFCEHM_00081,LDHBPGCO_00083,LCBDDICB_00082
LD082,LD082,ONKBACOP_00083,OFLNMJHG_00083,GLMFCEHM_00082,LDHBPGCO_00084,LCBDDICB_00083
LD083,LD083,ONKBACOP_00084,OFLNMJHG_00084,GLMFCEHM_00083,LDHBPGCO_00085,LCBDDICB_00084
LD084,LD084,ONKBACOP_00085,OFLNMJHG_00085,GLMFCEHM_00084,LDHBPGCO_00086,LCBDDICB_00085
LD085,LD085,ONKBACOP_00086,OFLNMJHG_00086,GLMFCEHM_00085,LDHBPGCO_00087,LCBDDICB_00086
LD086,LD086,ONKBACOP_00087,OFLNMJHG_00087,GLMFCEHM_00086,LDHBPGCO_00088,LCBDDICB_00087
LD087,LD087,ONKBACOP_00088,OFLNMJHG_00088,GLMFCEHM_00087,LDHBPGCO_00089,LCBDDICB_00088
LD087.1,,ONKBACOP_00089,OFLNMJHG_00089,GLMFCEHM_00088,,
LD088,LD088,ONKBACOP_00090,OFLNMJHG_00090,GLMFCEHM_00089,LDHBPGCO_00090,LCBDDICB_00089
LD089,LD089,ONKBACOP_00091,OFLNMJHG_00091,GLMFCEHM_00090,LDHBPGCO_00091,LCBDDICB_00090
LD090,LD090,ONKBACOP_00092,OFLNMJHG_00092,GLMFCEHM_00091,LDHBPGCO_00092,LCBDDICB_00091
LD091,LD091,ONKBACOP_00093,OFLNMJHG_00093,GLMFCEHM_00092,LDHBPGCO_00093,LCBDDICB_00092
LD092,LD092,ONKBACOP_00094,OFLNMJHG_00094,GLMFCEHM_00093,LDHBPGCO_00094,LCBDDICB_00093
LD093,LD093,ONKBACOP_00095,OFLNMJHG_00095,GLMFCEHM_00094,LDHBPGCO_00095,LCBDDICB_00094
LD094,LD094,ONKBACOP_00096,OFLNMJHG_00096,GLMFCEHM_00095,LDHBPGCO_00096,LCBDDICB_00095
LD095,LD095,ONKBACOP_00097,OFLNMJHG_00097,GLMFCEHM_00096,LDHBPGCO_00097,LCBDDICB_00096
LD096,LD096,ONKBACOP_00098,OFLNMJHG_00098,GLMFCEHM_00097,LDHBPGCO_00098,LCBDDICB_00097
LD096.1,,,OFLNMJHG_00099,GLMFCEHM_00098,,LCBDDICB_00098
LD097,LD097,ONKBACOP_00099,OFLNMJHG_00100,GLMFCEHM_00099,LDHBPGCO_00099,LCBDDICB_00099
LD098,LD098,ONKBACOP_00100,OFLNMJHG_00101,GLMFCEHM_00100,LDHBPGCO_00100,LCBDDICB_00100
LD099,LD099,ONKBACOP_00101,OFLNMJHG_00102,GLMFCEHM_00101,LDHBPGCO_00101,LCBDDICB_00101
LD100,LD100,ONKBACOP_00102,OFLNMJHG_00103,GLMFCEHM_00102,LDHBPGCO_00102,LCBDDICB_00102
LD101,LD101,ONKBACOP_00103,OFLNMJHG_00104,GLMFCEHM_00103,LDHBPGCO_00103,LCBDDICB_00103
LD102,LD102,ONKBACOP_00104,OFLNMJHG_00105,GLMFCEHM_00104,LDHBPGCO_00104,LCBDDICB_00104
LD103,LD103,ONKBACOP_00105,OFLNMJHG_00106,GLMFCEHM_00105,LDHBPGCO_00105,LCBDDICB_00105
LD104,LD104,ONKBACOP_00106,OFLNMJHG_00107,GLMFCEHM_00106,LDHBPGCO_00106,LCBDDICB_00106
LD105,LD105,ONKBACOP_00107,OFLNMJHG_00108,GLMFCEHM_00107,LDHBPGCO_00107,LCBDDICB_00107
LD106,LD106,,,,LDHBPGCO_00108,LCBDDICB_00108
LD107,LD107,ONKBACOP_00108,OFLNMJHG_00109,GLMFCEHM_00108,LDHBPGCO_00109,LCBDDICB_00109
LD108,LD108,ONKBACOP_00109,OFLNMJHG_00110,GLMFCEHM_00109,LDHBPGCO_00110,LCBDDICB_00110
LD109,LD109,ONKBACOP_00110,OFLNMJHG_00111,GLMFCEHM_00110,LDHBPGCO_00111,LCBDDICB_00111
LD110,LD110,ONKBACOP_00111,OFLNMJHG_00112,GLMFCEHM_00111,LDHBPGCO_00112,LCBDDICB_00112
LD111,LD111,ONKBACOP_00112,OFLNMJHG_00113,GLMFCEHM_00112,LDHBPGCO_00113,LCBDDICB_00113
LD112,LD113,,,,,
LD113,LD112,ONKBACOP_00113,OFLNMJHG_00114,GLMFCEHM_00113,LDHBPGCO_00114,LCBDDICB_00114
LD114,LD114,ONKBACOP_00114,OFLNMJHG_00115,GLMFCEHM_00114,LDHBPGCO_00115,LCBDDICB_00115
LD115,LD115,ONKBACOP_00115,OFLNMJHG_00116,GLMFCEHM_00115,LDHBPGCO_00116,LCBDDICB_00116
LD116,LD116,ONKBACOP_00116,OFLNMJHG_00117,GLMFCEHM_00116,LDHBPGCO_00117,LCBDDICB_00117
LD117,LD117,ONKBACOP_00117,OFLNMJHG_00118,GLMFCEHM_00117,LDHBPGCO_00118,LCBDDICB_00118
LD118,LD118,ONKBACOP_00118,OFLNMJHG_00119,GLMFCEHM_00118,LDHBPGCO_00119,LCBDDICB_00119
LD119,LD119,ONKBACOP_00119,OFLNMJHG_00120,GLMFCEHM_00119,LDHBPGCO_00120,LCBDDICB_00120
LD120,LD120,ONKBACOP_00120,OFLNMJHG_00121,GLMFCEHM_00120,LDHBPGCO_00121,LCBDDICB_00121
LD120a,,ONKBACOP_00121,OFLNMJHG_00122,GLMFCEHM_00121,LDHBPGCO_00122,LCBDDICB_00122
LD121,LD121,ONKBACOP_00122,OFLNMJHG_00123,GLMFCEHM_00122,LDHBPGCO_00123,LCBDDICB_00123
LD122,LD122,ONKBACOP_00123,OFLNMJHG_00124,GLMFCEHM_00123,LDHBPGCO_00124,LCBDDICB_00124
LD123,LD123,ONKBACOP_00124,OFLNMJHG_00125,GLMFCEHM_00124,LDHBPGCO_00125,LCBDDICB_00125
LD124,LD124,ONKBACOP_00125,OFLNMJHG_00126,GLMFCEHM_00125,LDHBPGCO_00126,LCBDDICB_00126
LD125,LD125,ONKBACOP_00126,OFLNMJHG_00127,GLMFCEHM_00126,LDHBPGCO_00127,LCBDDICB_00127
LD126,LD126,ONKBACOP_00127,OFLNMJHG_00128,GLMFCEHM_00127,LDHBPGCO_00128,LCBDDICB_00128
LD127,LD127,ONKBACOP_00128,OFLNMJHG_00129,GLMFCEHM_00128,LDHBPGCO_00129,LCBDDICB_00129
LD128,LD128,ONKBACOP_00129,OFLNMJHG_00130,GLMFCEHM_00129,LDHBPGCO_00130,LCBDDICB_00130
LD129,LD129,ONKBACOP_00130,OFLNMJHG_00131,GLMFCEHM_00130,LDHBPGCO_00131,LCBDDICB_00131
LD130,LD130,,,,,
LD131,LD131,ONKBACOP_00131,OFLNMJHG_00132,GLMFCEHM_00131,LDHBPGCO_00132,LCBDDICB_00132
LD132,LD132,,,,,
LD133,LD133,ONKBACOP_00132,OFLNMJHG_00133,GLMFCEHM_00132,LDHBPGCO_00133,LCBDDICB_00133
LD133a,,ONKBACOP_00133,,GLMFCEHM_00133,LDHBPGCO_00134,LCBDDICB_00134
LD134,LD134,ONKBACOP_00134,OFLNMJHG_00134,GLMFCEHM_00134,LDHBPGCO_00135,LCBDDICB_00135
LD134.1,,ONKBACOP_00135,OFLNMJHG_00135,GLMFCEHM_00135,LDHBPGCO_00136,LCBDDICB_00136
LD135,LD135,ONKBACOP_00136,OFLNMJHG_00136,GLMFCEHM_00136,LDHBPGCO_00137,LCBDDICB_00137
LD136,LD136,ONKBACOP_00137,OFLNMJHG_00137,,,
LD137,LD137,ONKBACOP_00138,OFLNMJHG_00138,GLMFCEHM_00137,LDHBPGCO_00138,LCBDDICB_00138
LD138,LD138,ONKBACOP_00139,OFLNMJHG_00139,GLMFCEHM_00138,LDHBPGCO_00139,LCBDDICB_00139
LD139,LD139,ONKBACOP_00140,OFLNMJHG_00140,GLMFCEHM_00139,LDHBPGCO_00140,LCBDDICB_00140
LD140,LD140,ONKBACOP_00141,OFLNMJHG_00141,GLMFCEHM_00140,LDHBPGCO_00141,LCBDDICB_00141
LD141,LD141,ONKBACOP_00142,OFLNMJHG_00142,GLMFCEHM_00141,LDHBPGCO_00142,LCBDDICB_00142
LD142,LD142,ONKBACOP_00143,OFLNMJHG_00143,GLMFCEHM_00142,LDHBPGCO_00143,LCBDDICB_00143
LD143,LD143,ONKBACOP_00144,OFLNMJHG_00144,GLMFCEHM_00143,LDHBPGCO_00144,LCBDDICB_00144
LD144,LD144,ONKBACOP_00145,OFLNMJHG_00145,GLMFCEHM_00144,LDHBPGCO_00145,LCBDDICB_00145
LD144.1,,ONKBACOP_00146,OFLNMJHG_00146,GLMFCEHM_00145,LDHBPGCO_00146,LCBDDICB_00146
LD144.2,,ONKBACOP_00147,OFLNMJHG_00147,GLMFCEHM_00146,LDHBPGCO_00147,LCBDDICB_00147
LD145,LD145,ONKBACOP_00148,OFLNMJHG_00148,GLMFCEHM_00147,LDHBPGCO_00148,LCBDDICB_00148
LD146,LD146,ONKBACOP_00149,OFLNMJHG_00149,GLMFCEHM_00148,LDHBPGCO_00149,LCBDDICB_00149
LD147,LD147,ONKBACOP_00150,OFLNMJHG_00150,GLMFCEHM_00149,LDHBPGCO_00150,LCBDDICB_00150
LD148,LD148,ONKBACOP_00151,OFLNMJHG_00151,GLMFCEHM_00150,LDHBPGCO_00151,LCBDDICB_00151
LD148.1,,ONKBACOP_00152,OFLNMJHG_00152,GLMFCEHM_00151,LDHBPGCO_00152,LCBDDICB_00152
LD149,LD149,ONKBACOP_00153,OFLNMJHG_00153,GLMFCEHM_00152,LDHBPGCO_00153,LCBDDICB_00153
LD150,LD150,ONKBACOP_00154,OFLNMJHG_00154,GLMFCEHM_00153,LDHBPGCO_00154,LCBDDICB_00154
LD151,LD151,ONKBACOP_00155,OFLNMJHG_00155,GLMFCEHM_00154,LDHBPGCO_00155,LCBDDICB_00155
LD152,LD152,ONKBACOP_00156,OFLNMJHG_00156,GLMFCEHM_00155,LDHBPGCO_00156,LCBDDICB_00156
LD152.1,,,,GLMFCEHM_00156,,
LD153,LD153,,,GLMFCEHM_00157,,
LD154,LD154,ONKBACOP_00157,OFLNMJHG_00157,GLMFCEHM_00158,LDHBPGCO_00157,LCBDDICB_00157
LD155,LD155,,,,,
LD156,LD156,ONKBACOP_00158,OFLNMJHG_00158,GLMFCEHM_00159,LDHBPGCO_00158,LCBDDICB_00158
LD156a,,ONKBACOP_00159,OFLNMJHG_00159,,,
