gene_id,LSDV,CAPV,GTPV,ancient,pre_modern
LD076,1,1,1,1,1,1
LD077,1,1,1,1,1,1
LD078,1,1,1,1,1,1
LD079,1,1,1,1,1,1
LD079.1,0,1,1,1,1,1
LD079.2,0,1,1,1,1,1
LD080,1,1,1,1,1,1
LD081,1,1,1,1,1,1
LD082,1,1,1,1,1,1
LD083,1,1,1,1,1,1
LD084,1,1,1,1,1,1
LD085,1,1,1,1,1,1
LD086,1,1,1,1,1,1
LD087,1,1,1,1,1,1
LD087.1,0,1,1,1,0,0
LD088,1,1,1,1,1,1
LD089,1,1,1,1,1,1
LD090,1,1,1,1,1,1
LD091,1,1,1,1,1,1
LD092,1,1,1,1,1,1
LD093,1,1,1,1,1,1
LD094,1,1,1,1,1,1
LD095,1,1,1,1,1,1
LD096,1,1,1,1,1,1
LD096.1,0,0,1,1,0,1
LD097,1,1,1,1,1,1
LD098,1,1,1,1,1,1
LD099,1,1,1,1,1,1
LD100,1,1,1,1,1,1
LD101,1,1,1,1,1,1
LD102,1,1,1,1,1,1
LD103,1,1,1,1,1,1
LD104,1,1,1,1,1,1
LD105,1,1,1,1,1,1
LD106,1,0,0,0,1,1
LD107,1,1,1,1,1,1
LD108,1,1,1,1,1,1
LD109,1,1,1,1,1,1
LD110,1,1,1,1,1,1
LD111,1,1,1,1,1,1
LD112,1,0,0,0,0,0
LD113,1,1,1,1,1,1
LD114,1,1,1,1,1,1
LD115,1,1,1,1,1,1
LD116,1,1,1,1,1,1
LD117,1,1,1,1,1,1
LD118,1,1,1,1,1,1
LD119,1,1,1,1,1,1
LD120,1,1,1,1,1,1
LD120a,0,1,1,1,1,1
LD121,1,1,1,1,1,1
LD122,1,1,1,1,1,1
LD123,1,1,1,1,1,1
LD124,1,1,1,1,1,1
LD125,1,1,1,1,1,1
LD126,1,1,1,1,1,1
LD127,1,1,1,1,1,1
LD128,1,1,1,1,1,1
LD129,1,1,1,1,1,1
LD130,1,0,0,0,0,0
LD131,1,1,1,1,1,1
LD132,1,0,0,0,0,0
LD133,1,1,1,1,1,1
LD133a,0,1,0,1,1,1
LD134,1,1,1,1,1,1
LD134.1,0,1,1,1,1,1
LD135,1,1,1,1,1,1
LD136,1,1,1,0,0,0
LD137,1,1,1,1,1,1
LD138,1,1,1,1,1,1
LD139,1,1,1,1,1,1
LD140,1,1,1,1,1,1
LD141,1,1,1,1,1,1
LD142,1,1,1,1,1,1
LD143,1,1,1,1,1,1
LD144,1,1,1,1,1,1
LD144.1,0,1,1,1,1,1
LD144.2,0,1,1,1,1,1
LD145,1,1,1,1,1,1
LD146,1,1,1,1,1,1
LD147,1,1,1,1,1,1
LD148,1,1,1,1,1,1
LD148.1,0,1,1,1,1,1
LD149,1,1,1,1,1,1
LD150,1,1,1,1,1,1
LD151,1,1,1,1,1,1
LD152,1,1,1,1,1,1
LD152.1,0,0,0,1,0,0
LD153,1,0,0,1,0,0
LD154,1,1,1,1,1,1
LD155,1,0,0,0,0,0
LD156,1,1,1,1,1,1
LD156a,0,1,1,0,0,0
